Date,Open,High,Low,Close,Adj Close,Volume,Days
2/8/2019,183.050003,184.580002,182.720001,184.539993,167.695908,2792300,247
2/11/2019,185,185.419998,182.75,182.919998,166.223755,3729200,248
2/12/2019,183.839996,186.399994,183.520004,185.520004,168.586456,3773200,249
2/13/2019,186.300003,188.679993,185.919998,188.410004,171.212662,4146900,250
2/14/2019,187.5,188.929993,186,187.710007,170.576599,2600600,251
2/15/2019,189.869995,192.619995,189.050003,192.389999,174.829391,4997900,252
2/19/2019,191.710007,193.190002,191.279999,192.330002,174.774887,3828400,253
2/20/2019,192.389999,192.399994,191.110001,191.850006,174.338699,3970100,254
2/21/2019,191.850006,192.369995,190.610001,191.820007,174.311432,3094200,255
2/22/2019,191.690002,192.539993,191.619995,192.389999,174.829391,3321600,256
2/25/2019,192.75,193.419998,189.960007,189.979996,172.639359,6190700,257
2/26/2019,185.589996,188.470001,182.800003,188.300003,171.112717,13635100,258
2/27/2019,187.899994,188.5,183.210007,183.669998,166.905334,8766200,259
2/28/2019,183.600006,185.190002,183.110001,185.139999,168.24115,8060600,260
3/1/2019,185.820007,186.559998,182.860001,185.169998,168.268387,5481300,261
3/4/2019,186.199997,186.240005,182.100006,183.809998,167.032532,5046800,262
3/5/2019,184.240005,185.119995,183.25,184,167.205185,3691000,263
3/6/2019,184.529999,184.970001,183.839996,184.449997,167.614136,4460900,264
3/7/2019,184.389999,184.619995,181.580002,182.509995,165.851212,4122200,265
3/8/2019,181.490005,181.910004,179.520004,181.229996,164.688065,3867100,266
3/11/2019,182,183.199997,181.199997,182.440002,165.787598,3866200,267
3/12/2019,183.429993,184.270004,182.330002,184,167.205185,3777000,268
3/13/2019,183.240005,183.779999,181.080002,181.139999,165.83194,4528300,269
3/14/2019,181.279999,181.740005,180.5,181.610001,166.262268,4393000,270
3/15/2019,182.300003,182.490005,179.570007,182.229996,166.829834,8059100,271
3/18/2019,182.529999,183.479996,182.330002,183.419998,167.919327,4395800,272
3/19/2019,184.190002,185.820007,183.479996,184.130005,168.569305,4437100,273
3/20/2019,184.300003,187.119995,183.429993,186.100006,170.372803,4772600,274
3/21/2019,185.5,190,185.5,189.970001,173.915756,4755700,275
3/22/2019,189.309998,192.050003,188.669998,188.75,172.798859,5173600,276
3/25/2019,188.75,191.710007,188.509995,189.679993,173.650238,3845900,277
3/26/2019,190.690002,192.190002,188.740005,189.339996,173.338974,4143300,278
3/27/2019,189.649994,191.610001,188.389999,189.25,173.256592,4298400,279
3/28/2019,189.910004,191.399994,189.160004,190.059998,173.998169,3326100,280
3/29/2019,190.850006,192.039993,190.139999,191.889999,175.673462,4674100,281
4/1/2019,192.990005,195.899994,192.850006,195.639999,179.106598,5381400,282
4/2/2019,195.5,195.5,194.020004,194.309998,177.888992,2717800,283
4/3/2019,194.979996,198.789993,194.110001,198.610001,181.825577,4581500,284
4/4/2019,199,200.490005,198.020004,200.449997,183.510117,3138400,285
4/5/2019,200.860001,203.130005,200.610001,202.059998,184.984039,3615300,286
4/8/2019,201.369995,203.789993,201.240005,203.550003,186.348083,3040900,287
4/9/2019,202.259995,202.710007,200.460007,200.899994,183.922089,3721700,288
4/10/2019,201.259995,201.600006,198.020004,199.429993,182.576309,3587500,289
4/11/2019,199.899994,201.5,199.029999,201.479996,184.453064,2465100,290
4/12/2019,202.130005,204.259995,202.130005,203.850006,186.622772,3097900,291
4/15/2019,204.160004,205.139999,203.399994,204.860001,187.54744,3049900,292
4/16/2019,205.25,205.990005,204.289993,204.470001,187.190369,3271400,293
4/17/2019,205.339996,206.839996,205.320007,206.550003,189.09462,3271900,294
4/18/2019,206.020004,207.779999,205.100006,205.660004,188.2798,3162500,295
4/22/2019,204.110001,206.25,204,204.779999,187.474167,2593900,296
4/23/2019,205.139999,207.330002,203.429993,206.050003,188.636871,3702600,297
4/24/2019,206.160004,208.300003,205.539993,206.720001,189.250229,2750900,298
4/25/2019,206.009995,207.720001,205.059998,206.5,189.048813,3292100,299
4/26/2019,205.880005,206.139999,203.339996,203.610001,186.403046,3560300,300
4/29/2019,203.309998,203.800003,200.339996,202.160004,185.075577,3785200,301
4/30/2019,201.550003,203.75,200.789993,203.699997,186.485428,3415600,302
5/1/2019,203.199997,203.520004,198.660004,198.800003,181.999542,4644700,303
5/2/2019,199.300003,201.059998,198.800003,201.009995,184.022781,2810000,304
5/3/2019,202,202.309998,200.320007,200.559998,183.610794,3583400,305
5/6/2019,198.740005,199.929993,198.309998,199.630005,182.759384,2619400,306
5/7/2019,196.75,197.649994,192.960007,194.770004,178.310135,4622100,307
5/8/2019,194.490005,196.610001,193.679993,195.169998,178.6763,3122600,308
5/9/2019,193.309998,195.080002,191.589996,194.580002,178.136154,2917700,309
5/10/2019,193.210007,195.490005,190.009995,194.580002,178.136154,3863600,310
5/13/2019,191,191.660004,189.139999,190.339996,174.254486,3325900,311
5/14/2019,190.5,192.759995,190.009995,191.619995,175.426315,3663600,312
5/15/2019,190.809998,192.809998,190.270004,191.759995,175.554443,3355800,313
5/16/2019,192.470001,194.960007,192.199997,192.380005,176.12207,3854000,314
5/17/2019,190.860001,194.5,190.75,192.580002,176.305191,5223800,315
5/20/2019,191.130005,192.860001,190.610001,190.949997,174.812912,4782800,316
5/21/2019,187.130005,192.520004,186.339996,191.449997,175.27066,8555600,317
5/22/2019,190.490005,192.220001,188.050003,188.910004,172.945343,5706000,318
5/23/2019,188.449997,192.539993,186.270004,192,175.774185,7754000,319
5/24/2019,192.539993,193.860001,190.410004,193.589996,177.229813,3799500,320
5/28/2019,194.380005,196.470001,191.350006,191.550003,175.362274,5165800,321
5/29/2019,190.279999,191.880005,188.029999,189.990005,173.934052,4569900,322
5/30/2019,190.130005,192.5,190.089996,191.080002,174.931961,3029800,323
5/31/2019,189.639999,190.289993,188.660004,189.850006,173.805908,3681500,324
6/3/2019,189.520004,191.869995,188.75,189.570007,173.549606,4620200,325
